,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2007-2008,18,Celta Vigo,es ESP,2. Segunda División,16th,19.5,6,,11,,,0.56,,0.45,,,1,1,,,,,,
2008-2009,19,Albacete,es ESP,2. Segunda División,15th,33.1,10,,34,,,1.03,,0.21,,,3,3,,,,,,
2009-2010,20,Valladolid,es ESP,1. La Liga,18th,31.8,8,,31,,,0.98,,0.26,,,0,0,,,,,,Matches
2010-2011,21,Atlético Madrid,es ESP,1. La Liga,7th,15.1,6,,16,,,1.06,,0.38,,,0,0,,,,,,Matches
2011-2012,22,Rayo Vallecano,es ESP,1. La Liga,15th,14.6,9,,23,,,1.58,,0.30,,,2,2,,,,,,Matches
2012-2013,23,Atlético Madrid,es ESP,1. La Liga,3rd,22.6,10,,27,,,1.19,,0.37,,,0,0,,,,,,Matches
2013-2014,24,Atlético Madrid,es ESP,1. La Liga,1st,32.8,27,,56,,,1.71,,0.39,,,5,8,,,,,,Matches
2014-2015,25,Chelsea,eng ENG,1. Premier League,1st,23.0,20,,38,,,1.65,,0.50,,,1,1,,,,,,Matches
2015-2016,26,Chelsea,eng ENG,1. Premier League,10th,26.4,12,,28,,,1.06,,0.43,,,0,0,,,,,,Matches
2016-2017,27,Chelsea,eng ENG,1. Premier League,1st,34.2,20,111,41,36.9,3.24,1.20,0.18,0.49,,,0,1,,,,,,Matches
2017-2018,28,Atlético Madrid,es ESP,1. La Liga,2nd,11.6,3,25,10,40.0,2.16,0.86,0.12,0.30,14.9,0,0,0,3.6,3.6,0.14,-0.6,-0.6,Matches
2018-2019,29,Atlético Madrid,es ESP,1. La Liga,2nd,12.4,2,16,10,62.5,1.29,0.81,0.13,0.20,14.6,0,0,0,1.7,1.7,0.11,+0.3,+0.3,Matches
2019-2020,30,Atlético Madrid,es ESP,1. La Liga,3rd,15.0,5,32,7,21.9,2.13,0.47,0.09,0.43,12.2,0,2,3,6.7,4.3,0.13,-1.7,-1.3,Matches
2020-2021,31,Atlético Madrid,es ESP,1. La Liga,1st,2.3,2,4,2,50.0,1.73,0.87,0.25,0.50,13.4,0,1,1,1.4,0.6,0.15,+0.6,+0.4,Matches