Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2007-08-12,Dim,Premier League,Journée 1,Domicile,N 0–0,Manchester Utd,Reading,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-08-15,Mer,Premier League,Journée 2,Extérieur,N 1–1,Manchester Utd,Portsmouth,Y,,84,0,,0,,,,0,1,,,,,,,0,,,Rapport de match
2007-08-22,Mer,Qualifications Euro,Phase de groupe,Extérieur,N 1–1,pt Portugal,am Arménie,Y,,90,1,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2007-09-08,Sam,Qualifications Euro,Phase de groupe,Domicile,N 2–2,pt Portugal,pl Pologne,Y,,90,1,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2007-09-12,Mer,Qualifications Euro,Phase de groupe,Domicile,N 1–1,pt Portugal,rs Serbie,Y,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2007-09-15,Sam,Premier League,Journée 6,Extérieur,V 1–0,Manchester Utd,Everton,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2007-09-19,Mer,Champions Lg,Phase de groupe,Extérieur,V 1–0,eng Manchester Utd,pt Sporting CP,Y,,86,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-09-23,Dim,Premier League,Journée 7,Domicile,V 2–0,Manchester Utd,Chelsea,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-09-29,Sam,Premier League,Journée 8,Extérieur,V 1–0,Manchester Utd,Birmingham City,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-10-02,Mar,Champions Lg,Phase de groupe,Domicile,V 1–0,eng Manchester Utd,it Roma,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-10-06,Sam,Premier League,Journée 9,Domicile,V 4–0,Manchester Utd,Wigan Athletic,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-10-13,Sam,Qualifications Euro,Phase de groupe,Extérieur,V 2–0,pt Portugal,az Azerbaïdjan,Y*,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2007-10-17,Mer,Qualifications Euro,Phase de groupe,Extérieur,V 2–1,pt Portugal,kz Kazakhstan,Y*,,90,1,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2007-10-20,Sam,Premier League,Journée 10,Extérieur,V 4–1,Manchester Utd,Aston Villa,N,,14,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-10-23,Mar,Champions Lg,Phase de groupe,Extérieur,V 4–2,eng Manchester Utd,ua Dynamo Kyiv,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Rapport de match
2007-10-27,Sam,Premier League,Journée 11,Domicile,V 4–1,Manchester Utd,Middlesbrough,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-11-03,Sam,Premier League,Journée 12,Extérieur,N 2–2,Manchester Utd,Arsenal,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-11-07,Mer,Champions Lg,Phase de groupe,Domicile,V 4–0,eng Manchester Utd,ua Dynamo Kyiv,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-11-11,Dim,Premier League,Journée 13,Domicile,V 2–0,Manchester Utd,Blackburn,Y,,90,2,,0,,,,1,0,,,,,,,0,,,Rapport de match
2007-11-17,Sam,Qualifications Euro,Phase de groupe,Domicile,V 1–0,pt Portugal,am Arménie,Y,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2007-11-21,Mer,Qualifications Euro,Phase de groupe,Domicile,N 0–0,pt Portugal,fi Finlande,Y*,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2007-11-27,Mar,Champions Lg,Phase de groupe,Domicile,V 2–1,eng Manchester Utd,pt Sporting CP,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Rapport de match
2007-12-03,Lun,Premier League,Journée 15,Domicile,V 2–0,Manchester Utd,Fulham,Y,,90,2,,0,,,,1,0,,,,,,,0,,,Rapport de match
2007-12-08,Sam,Premier League,Journée 16,Domicile,V 4–1,Manchester Utd,Derby County,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-16,Dim,Premier League,Journée 17,Extérieur,V 1–0,Manchester Utd,Liverpool,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-12-23,Dim,Premier League,Journée 18,Domicile,V 2–1,Manchester Utd,Everton,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Rapport de match
2007-12-26,Mer,Premier League,Journée 19,Extérieur,V 4–0,Manchester Utd,Sunderland,Y,,56,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2007-12-29,Sam,Premier League,Journée 20,Extérieur,D 1–2,Manchester Utd,West Ham,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-01-01,Mar,Premier League,Journée 21,Domicile,V 1–0,Manchester Utd,Birmingham City,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-01-12,Sam,Premier League,Journée 22,Domicile,V 6–0,Manchester Utd,Newcastle Utd,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-01-19,Sam,Premier League,Journée 23,Extérieur,V 2–0,Manchester Utd,Reading,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-01-30,Mer,Premier League,Journée 24,Domicile,V 2–0,Manchester Utd,Portsmouth,Y,,73,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-02-02,Sam,Premier League,Journée 25,Extérieur,N 1–1,Manchester Utd,Tottenham,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2008-02-10,Dim,Premier League,Journée 26,Domicile,D 1–2,Manchester Utd,Manchester City,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-02-20,Mer,Champions Lg,Huitièmes de finale,Extérieur,N 1–1,eng Manchester Utd,fr Lyon,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-02-23,Sam,Premier League,Journée 27,Extérieur,V 5–1,Manchester Utd,Newcastle Utd,Y,,66,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-03-01,Sam,Premier League,Journée 28,Extérieur,V 3–0,Manchester Utd,Fulham,N,,22,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-03-04,Mar,Champions Lg,Huitièmes de finale,Domicile,V 1–0,eng Manchester Utd,fr Lyon,Y,,89,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-03-15,Sam,Premier League,Journée 30,Extérieur,V 1–0,Manchester Utd,Derby County,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-03-19,Mer,Premier League,Journée 29,Domicile,V 2–0,Manchester Utd,Bolton,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-03-23,Dim,Premier League,Journée 31,Domicile,V 3–0,Manchester Utd,Liverpool,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-03-29,Sam,Premier League,Journée 32,Domicile,V 4–0,Manchester Utd,Aston Villa,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-04-01,Mar,Champions Lg,Quarts de finale,Extérieur,V 2–0,eng Manchester Utd,it Roma,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-04-06,Dim,Premier League,Journée 33,Extérieur,N 2–2,Manchester Utd,Middlesbrough,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-04-13,Dim,Premier League,Journée 34,Domicile,V 2–1,Manchester Utd,Arsenal,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2008-04-19,Sam,Premier League,Journée 35,Extérieur,N 1–1,Manchester Utd,Blackburn,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-04-23,Mer,Champions Lg,Demi-finales,Extérieur,N 0–0,eng Manchester Utd,es Barcelona,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-04-26,Sam,Premier League,Journée 36,Extérieur,D 1–2,Manchester Utd,Chelsea,N,,28,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-04-29,Mar,Champions Lg,Demi-finales,Domicile,V 1–0,eng Manchester Utd,es Barcelona,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2008-05-03,Sam,Premier League,Journée 37,Domicile,V 4–1,Manchester Utd,West Ham,Y,,63,2,,0,,,,1,0,,,,,,,0,,,Rapport de match
2008-05-11,Dim,Premier League,Journée 38,Extérieur,V 2–0,Manchester Utd,Wigan Athletic,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2008-05-21,Mer,Champions Lg,Finale,Terrain neutre,N 1 (6)–1 (5),eng Manchester Utd,eng Chelsea,Y,,120,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-06-07,Sam,UEFA Euro,Phase de groupe,Domicile,V 2–0,pt Portugal,tr Turquie,Y,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2008-06-11,Mer,UEFA Euro,Phase de groupe,Extérieur,V 3–1,pt Portugal,cz République tchèque,Y,,90,1,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2008-06-19,Jeu,UEFA Euro,Quarts de finale,Domicile,D 2–3,pt Portugal,de Germany,Y,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match