Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
2004-2005,17,Barcelona,es ESP,1. La Liga,1st,0.8,,,,,,,,,,,,,,,,,Matches
2005-2006,18,Barcelona,es ESP,1. La Liga,1st,10.1,,,,,,,,,,,,,,,,,Matches
2006-2007,19,Barcelona,es ESP,1. La Liga,2nd,22.0,,,,,,,,,,,,,,,,,Matches
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,21.9,,,,,,,,,,,,,,,,,Matches
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,28.0,,,,,,,,,,,,,,,,,Matches
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,31.2,,,,,,,,,,,,,,,,,Matches
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,31.8,,,,,,,,,,,,,,,,,Matches
2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,36.3,,,,,,,,,,,,,,,,,Matches
2012-2013,25,Barcelona,es ESP,1. La Liga,1st,29.4,,,,,,,,,,,,,,,,,Matches
2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,27.8,,,,,,,,,,,,,,,,,Matches
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,37.5,,,,,,,,,,,,,,,,,Matches
2015-2016,28,Barcelona,es ESP,1. La Liga,1st,30.3,,,,,,,,,,,,,,,,,Matches
2016-2017,29,Barcelona,es ESP,1. La Liga,2nd,31.4,,,,,,,,,,,,,,,,,Matches
2017-2018,30,Barcelona,es ESP,1. La Liga,1st,33.3,265,7.95,151,8,49,23,31,3,43,1.29,23,2,10,5,3,0,Matches
2018-2019,31,Barcelona,es ESP,1. La Liga,1st,30.1,243,8.06,149,13,39,13,26,3,36,1.19,21,1,5,5,4,0,Matches
2019-2020,32,Barcelona,es ESP,1. La Liga,2nd,32.0,232,7.25,133,18,39,13,28,1,37,1.16,24,5,4,1,3,0,Matches
2020-2021,33,Barcelona,es ESP,1. La Liga,3rd,33.6,241,7.17,141,20,40,12,28,0,34,1.01,21,1,7,3,2,0,Matches
2021-2022,34,Paris S-G,fr FRA,1. Ligue 1,1st,23.9,156,6.52,113,8,16,10,8,1,27,1.13,19,2,3,2,0,1,Matches
2022-2023,35,Paris S-G,fr FRA,1. Ligue 1,1st,24.5,157,6.40,104,20,15,8,8,2,28,1.14,21,1,3,1,2,0,Matches